Date,Close,Volume
2022-03-04,25985.47,93500000
2022-03-07,25221.41,105400000
2022-03-08,24790.95,114700000
2022-03-09,24717.53,91500000
2022-03-10,25690.4,95200000
2022-03-11,25162.78,89600000
2022-03-14,25307.85,72600000
2022-03-15,25346.48,73200000
2022-03-16,25762.01,82300000
2022-03-17,26652.89,89600000
2022-03-18,26827.43,108200000
2022-03-22,27224.11,98000000
2022-03-23,28040.16,88200000
2022-03-24,28110.39,71600000
2022-03-25,28149.84,67400000
2022-03-28,27943.89,65300000
2022-03-29,28252.42,77700000
2022-03-30,28027.25,83400000
2022-03-31,27821.43,78600000
2022-04-01,27665.98,66800000
2022-04-04,27736.47,50300000
2022-04-05,27787.98,64300000
2022-04-06,27350.3,68700000
2022-04-07,26888.57,71100000
2022-04-08,26985.8,78100000
2022-04-11,26821.52,73500000
2022-04-12,26334.98,75300000
2022-04-13,26843.49,71600000
2022-04-14,27172.0,61800000
2022-04-15,27093.19,51500000
2022-04-18,26799.71,48300000
2022-04-19,26985.09,60500000
2022-04-20,27217.85,72300000
2022-04-21,27553.06,62300000
2022-04-22,27105.26,58500000
2022-04-25,26590.78,62700000
2022-04-26,26700.11,64300000
2022-04-27,26386.63,97300000
2022-04-28,26847.9,86700000
2022-05-02,26818.53,74500000
2022-05-06,27003.56,98500000
2022-05-09,26319.34,79500000
2022-05-10,26167.1,80800000
2022-05-11,26213.64,85900000
2022-05-12,25748.72,91200000
2022-05-13,26427.65,103800000
2022-05-16,26547.05,87000000
2022-05-17,26659.75,78900000
2022-05-18,26911.2,74700000
2022-05-19,26402.84,74500000
2022-05-20,26739.03,76300000
2022-05-23,27001.52,65000000
2022-05-24,26748.14,67400000
2022-05-25,26677.8,72300000
2022-05-26,26604.84,64500000
2022-05-27,26781.68,69300000
2022-05-30,27369.43,97000000
2022-05-31,27279.8,141800000
2022-06-01,27457.89,75800000
2022-06-02,27413.88,63600000
2022-06-03,27761.57,63700000
2022-06-06,27915.89,56800000
2022-06-07,27943.95,68300000
2022-06-08,28234.29,78700000
2022-06-09,28246.53,80300000
2022-06-10,27824.29,79700000
2022-06-13,26987.44,71400000
2022-06-14,26629.86,75000000
2022-06-15,26326.16,72700000
2022-06-16,26431.2,67800000
2022-06-17,25963.0,115200000
2022-06-20,25771.22,72200000
2022-06-21,26246.31,65400000
2022-06-22,26149.55,66400000
2022-06-23,26171.25,65700000
2022-06-24,26491.97,72600000
2022-06-27,26871.27,65800000
2022-06-28,27049.47,73400000
2022-06-29,26804.6,101100000
2022-06-30,26393.04,86100000
2022-07-01,25935.62,81700000
2022-07-04,26153.81,68700000
2022-07-05,26423.47,62800000
2022-07-06,26107.65,89700000
2022-07-07,26490.53,80700000
2022-07-08,26517.19,89300000
2022-07-11,26812.3,68500000
2022-07-12,26336.66,64400000
2022-07-13,26478.77,54100000
2022-07-14,26643.39,60600000
2022-07-15,26788.47,65500000
2022-07-19,26961.68,59400000
2022-07-20,27680.26,66700000
2022-07-21,27803.0,56700000
2022-07-22,27914.66,60100000
2022-07-25,27699.25,46500000
2022-07-26,27655.21,50000000
2022-07-27,27715.75,51100000
2022-07-28,27815.48,83500000
2022-07-29,27801.64,79300000
2022-08-01,27993.35,71900000
2022-08-02,27594.73,71800000
2022-08-03,27741.9,72300000
2022-08-04,27932.2,83100000
2022-08-05,28175.87,71300000
2022-08-08,28249.24,66100000
2022-08-09,27999.96,64900000
2022-08-10,27819.33,59900000
2022-08-12,28546.98,89600000
2022-08-15,28871.78,53700000
2022-08-16,28868.91,50100000
2022-08-17,29222.77,66600000
2022-08-18,28942.14,47400000
2022-08-19,28930.33,48400000
2022-08-22,28794.5,49200000
2022-08-23,28452.75,55700000
2022-08-24,28313.47,62000000
2022-08-25,28479.01,53700000
2022-08-26,28641.38,49100000
2022-08-29,27878.96,64100000
2022-08-30,28195.58,60700000
2022-08-31,28091.53,86200000
2022-09-01,27661.47,68900000
2022-09-02,27650.84,58800000
2022-09-05,27619.61,47100000
2022-09-06,27626.51,46300000
2022-09-07,27430.3,69400000
2022-09-08,28065.28,75200000
2022-09-09,28214.75,74000000
2022-09-12,28542.11,50500000
2022-09-13,28614.63,51700000
2022-09-14,27818.62,70900000
2022-09-15,27875.91,48700000
2022-09-16,27567.65,81600000
2022-09-20,27688.42,60000000
2022-09-21,27313.13,65500000
2022-09-22,27153.83,62200000
2022-09-26,26431.55,96500000
2022-09-27,26571.87,66800000
2022-09-28,26173.98,92900000
2022-09-29,26422.05,88900000
2022-09-30,25937.21,101300000
2022-10-03,26215.79,80700000
2022-10-04,26992.21,87100000
2022-10-05,27120.53,73300000
2022-10-06,27311.3,69400000
2022-10-07,27116.11,66700000
2022-10-11,26401.25,78900000
2022-10-12,26396.83,68800000
2022-10-13,26237.42,59200000
2022-10-14,27090.76,82400000
2022-10-17,26775.79,65300000
2022-10-18,27156.14,66100000
2022-10-19,27257.38,57600000
2022-10-20,27006.96,60300000
2022-10-21,26890.58,56300000
2022-10-24,26974.9,59100000
2022-10-25,27250.28,62200000
2022-10-26,27431.84,61000000
2022-10-27,27345.24,65400000
2022-10-28,27105.2,144600000
2022-10-31,27587.46,71100000
2022-11-01,27678.92,72600000
2022-11-02,27663.39,86600000
2022-11-04,27199.74,111100000
2022-11-07,27527.64,78900000
2022-11-08,27872.11,84400000
2022-11-09,27716.43,79100000
2022-11-10,27446.1,77100000
2022-11-11,28263.57,103700000
2022-11-14,27963.47,85100000
2022-11-15,27990.17,71200000
2022-11-16,28028.3,73200000
2022-11-17,27930.57,58900000
2022-11-18,27899.77,64800000
2022-11-21,27944.79,56500000
2022-11-22,28115.74,75900000
2022-11-24,28383.09,83900000
2022-11-25,28283.03,56800000
2022-11-28,28162.83,64600000
2022-11-29,28027.84,64800000
2022-11-30,27968.99,106600000
2022-12-01,28226.08,71400000
2022-12-02,27777.9,79400000
2022-12-05,27820.4,63900000
2022-12-06,27885.87,60400000
2022-12-07,27686.4,63000000
2022-12-08,27574.43,64900000
2022-12-09,27901.01,70200000
2022-12-12,27842.33,49600000
2022-12-13,27954.85,51900000
2022-12-14,28156.21,54800000
2022-12-15,28051.7,51100000
2022-12-16,27527.12,83800000
2022-12-19,27237.64,58200000
2022-12-20,26568.03,118500000
2022-12-21,26387.72,119200000
2022-12-22,26507.87,73400000
2022-12-23,26235.25,75700000
2022-12-26,26405.87,47300000
2022-12-27,26447.87,50200000
2022-12-28,26340.5,61500000
2022-12-29,26093.67,63100000
2022-12-30,26094.5,52700000
2023-01-04,25716.86,83300000
2023-01-05,25820.8,72300000
2023-01-06,25973.85,68200000
2023-01-10,26175.56,71200000
2023-01-11,26446.0,62400000
2023-01-12,26449.82,77000000
2023-01-13,26119.52,98300000
2023-01-16,25822.32,71700000
2023-01-17,26138.68,68100000
2023-01-18,26791.12,93400000
2023-01-19,26405.23,68700000
2023-01-20,26553.53,60400000
2023-01-23,26906.04,60200000
2023-01-24,27299.19,70800000
2023-01-25,27395.01,63400000
2023-01-26,27362.75,63300000
2023-01-27,27382.56,71500000
2023-01-30,27433.4,65800000
2023-01-31,27327.11,74600000
2023-02-01,27346.88,65800000
2023-02-02,27402.05,73200000
2023-02-03,27509.46,92800000
2023-02-06,27693.65,88400000
